7422,5,SAT 1,ABC,German private television broadcaster
9767,27,You have to kiss many frogs,TODO,
9795,29,before you find the prince...,TODO,
9825,8,frog.sco,TODO,
10479,7,Fliegen,Flies,
10487,6,Bienen,Bees,
10494,9,Schrecken,Scares,
10504,10,Fledermaus,Bats,
10515,8,Insekten,Insects,
10524,7,Viecher,Creatures,
10532,6,Punkte,Points,
10539,5,Ebene,Level,
10545,8,Gimmicks,Gimmicks,
10554,5,Leben,Lives,
16108,20,Spiel abbrechen? j/n,Abort game? j/n,
17504,2,  ,TODO,
17507,6,Platz ,Place ,
17514,9,  Punkte ,  Points ,
17524,9,Leistung ,   Power ,
17534,62,Ebene Datum       Zeit      Name          Skill     Geschlecht,Level  Date       Time      Name          Skill        Gender,
17597,3,   ,TODO,
17601,16,Ihre Punktzahl: ,Your Score: ,
17618,16,gespielte Zeit: ,Played Time: ,
17635,2, s,TODO,
17638,1, ,TODO,
17640,15,Ihre Leistung: ,Your Performance: ,
17656,11, Punkte/min, Points/min,
19722,16,Gesamte Anzahl: ,Total Number: ,
19739,5,infas,Bureau of Statistics,"The infas Institute for Applied Social Science, based in Bonn, is an institute for market and social research that researches and advises companies, science, politics and administration."
20783,1,,TODO,
20785,8,        ,TODO,
24303,1, ,TODO,
24307,19,Auswahl mit  und ,Select with {UP} and {DOWN},
24327,21,Bestätigung mit Enter,Confirm with Enter,
24349,19,"Abbruch mit F3, Esc","Cancel with F3, Esc",
24369,25,Welches Gimmick kopieren?,Which gimmick copy?,
24395,26,Welches Gimmick verewigen?,Which gimmick perpetuate?,
24422,25,Welches Gimmick tauschen?,Which gimmick swap?,
24448,26,Welches Gimmick wegwerfen?,Which gimmick to discard?,
24475,24,Welches Gimmick bündeln?,Which gimmick bundle?,
24500,14,Keine Gimmicks,No gimmicks,
24515,22,Weiter mit Tastendruck,Press key to continue,
25794,41,Dieses Gimmick kann nicht kopiert werden!,This gimmick cannot be copied!,
25836,43,Dieses Gimmick kann nicht gebündelt werden!,This gimmick cannot be bundled!,
25880,42,Dieses Gimmick kann nicht verewigt werden!,This gimmick cannot be immortalised!,
27793,21,Bestätigung mit Enter,Confirm with Enter,
27815,15,Abbruch mit Esc,Cancel with Esc,
29592,4,20TH,TODO,
29597,7,CENTURY,TODO,
29605,4,FROG,TODO,
29610,30,Simulation eines Feuchtbiotops,Simulation of a Moist Habitat,
29641,11,Netzversion,   Version ,
29653,15, vom 26.10.1988,from 1988-10-26,
29669,2,", ",TODO,
29672,1, ,TODO,
29674,6,Ebenen,Levels,
29681,19,Jetzt mit OS-Shell!,Now with OS shell!,
29701,20,Informationen mit F1,Information with F1,
32217,31,Rückkehr ins Spiel mit EXIT ...,Return to the game with EXIT ...,
32249,8,COMSPEC=,TODO,
32258,1,=,TODO,
32261,11,COMMAND.COM,TODO,
32273,39,Zu wenig Speicherplatz für COMMAND.COM!,Insufficient space for COMMAND.COM!,
32313,28,COMMAND.COM nicht vorhanden!,COMMAND.COM does not exist!,
47250,19,Verpaßtes Gimmick: ,Missed gimmick: ,
54200,5,Mr FR,TODO,
54210,2,OG,TODO,
54213,1,"",TODO,
54215,1,s,TODO,
54217,1,_,TODO,
55189,1,.,TODO,
55459,1,:,TODO,
55720,11,deufrog.inf,engfrog.inf,
55732,11,Netzversion,   Version ,
55744,15, vom 26.10.1988,from 1988-10-26,
55760,30,Informationen nicht vorhanden!,Information not available!,
55791,1,"",TODO,
57415,8,Frog.drv,TODO,
59519,43,Grafiktreiber FROG.DRV falsch oder fehlend.,Driver FROG.DRV incorrect or missing.,
59632,16,Friß oder stirb!,Eat or die!,
59649,28,Nur Wasser hat keine Balken.,Only water has no bars.,
59678,42,Spinne am Morgen bringt Kummer und Sorgen.,Spider in the morning brings grief and worry.,
59721,23,Wozu ist die Straße da?,What is the street for?,
59745,28,Viele Walzen machen zu Brei.,Many rollers make pulp.,
59774,36,"Ihre Zähne sind in Ordnung, aber ...","Your teeth are fine, but ...",
59811,22,Kein falscher Schritt!,Not a wrong step!,
59834,13,Bitte stören!,Please disturb!,
59848,26,Alles Gute kommt von oben.,All good things come from above.,
59875,28,Hier ist nicht das Paradies.,This is not paradise.,
59904,15,Nichts wie weg!,Let's get away!,
59920,30,Hochsprung kommt vor dem Fall.,The high jump comes before the fall.,
59951,25,"Tod, wo ist dein Stachel?","O death, where is thy sting?",
59977,33,Ein Frosch springt selten allein.,A frog rarely jumps alone.,
60011,43,Auch Störche haben mal 'nen Frosch im Hals.,Even storks have a frog in their throat sometimes.,
60055,38,Durch diese hohle Gasse muß er fallen.,Through this hollow alley he must fall.,
60094,39,"Der Frosch, der ist kein Kostverächter!",The frog is not a food lover!,
60134,66,"Das Meer war angefüllt mit Wasser, und unten war's besonders tief.","The sea was full of water, and it was particularly deep below.",
60201,25,Gemeinsam sind wir stark!,Together we are strong!,
60227,27,frisch frosch fröhlich frei,The Joy of Frogs,Book Title
60255,58,Besser ein Ende ohne Schrecken als Heuschrecken ohne Ende.,Better an end without horror than grasshoppers without an end.,
60314,23,D O N ' T   P A N I C !,TODO,
60338,32,Frische Frösche frißt der Fisch.,The fish feasts on fresh frogs.,
60371,20,"Viel Feind, viel Ehr","Much enemy, much ore",
60392,61,Der Spatz in der Luft ist besser als der Storch auf dem Dach.,The sparrow in the air is better than the stork on the roof.,
60454,20,Auf ihn mit Gebrüll!,At him with a roar!,
60475,25,Laß es auf dich zukommen!,Let it come to you!,
60501,48,"Man hat's nicht leicht, aber leicht hat's einen.","It's not easy, but it's easy.",
60550,8,Kopierer,Copier,
60559,23,Verdoppelt ein Gimmick.,Doubles a gimmick.,
60583,8,Garantie,Guarantee,
60592,15,Gimmickschieber,Gimmick slider,
60608,31,Zum Austauschen eines Gimmicks.,To exchange a gimmick.,
60640,21,Verewigt ein Gimmick.,Immortalised a gimmick.,
60662,8,Pheromon,Pheromone,
60671,33,Lockt den Partner zur Vermehrung.,Lures the partner to multiply.,
60705,6,Hormon,Hormone,
60712,35,Macht Männlein aus und zu Weiblein.,Turns men into women.,
60748,9,Mülleimer,Rubbish Bin,
60758,27,Zum Wegwerfen von Gimmicks.,To throw away gimmicks.,
60786,5,Flöte,Flute,
60792,29,Zum Beschwören von Schlangen.,For conjuring snakes.,
60822,14,Heiligenschein,Halo,????
60837,33,Für schönere und bessere Frösche.,For more beautiful and better frogs.,
60871,13,Vogelscheuche,Scarecrow,
60885,15,Scheucht Vögel.,Shoo birds.,
60901,12,Steppenbrand,Grass Fire,
60914,8,Kanister,Canister,
60923,24,Platz für mehr Gimmicks.,Space for more gimmicks.,
60948,31,Versetzt Heuschrecken in Panik.,Panic grasshoppers.,
60980,6,Leiche,Corpse,
60987,33,Fliegen finden Leichen attraktiv.,Flies find corpses attractive.,
61021,5,Salto,Somersault,"somersault, tumble, turn"
61027,20,Ein gewagter Sprung.,A daring leap.,
61048,8,Raumhelm,Space Helmet,
61057,31,Bei Laserbeschuß sehr nützlich.,Very useful for laser fire.,
61089,6,Schild,Sign,"sign, shield, plate"
61096,33,Selbst bei Stiefeltritten stabil.,Stable even when kicking a boot.,
61130,5,Angel,Fishing Rod,
61136,21,Hechte meiden Angeln.,Pike avoid fishing.,
61158,5,Blume,Flower,
61164,33,Lockt einen Schmetterling herbei.,Attracts a butterfly.,
61198,6,Bündel,Bundle,
61205,17,Bündelt Gimmicks.,Bundles gimmicks.,
61223,7,Apparat,Gadget,
61231,24,Wirft eine Ebene zurück.,Throws back one level.,
61256,8,Zylinder,Cylinder,
61265,42,Rechts raus geht links rein und umgekehrt.,Out on the right goes in on the left and vice versa.,
61308,5,Pille,Pill,
61314,5,Nagel,Nail,
61320,31,Da geht der Walze die Luft aus.,Then the roller runs out of air.,
61352,5,Besen,Broom,
61358,33,Zum Beseitigen von Spinnennetzen.,For removing cobwebs.,
61392,3,Axt,Axe,
61396,18,Demontiert Balken.,Dismantled beams.,
61415,10,Fußschelle,Ankle Cuff,
61426,53,"Bindet dem Storch die Beine, aber nicht den Schnabel.","Binds the stork's legs, but not its beak.",
61480,11,Stahlträger,Steel Beam,
61492,29,Zur Abstützung mobiler Wände.,For supporting mobile walls.,
61522,9,Honigglas,Honey Jar,
61532,47,"Bienen lieben Honig, auch wenn sie zornig sind.",Bees love honey even when they are angry.,
61580,13,Fliegenfänger,Flycatcher,
61594,29,Fliegen bleiben daran kleben.,Flies stick to it.,
61624,8,Imkerhut,Beekeeper Hat,
61633,30,Zum Schutz gegen Bienenstiche.,To protect against bee stings.,
61664,5,Raupe,Caterpillar,
61670,16,Ruft eine Raupe.,A caterpillar calls.,
61687,10,Sauerstoff,Oxygen,
61698,33,Für beliebig lange Tauchausflüge.,For diving excursions of any length.,
61732,9,Stahlhelm,Steel Helmet,
61742,36,Ist härter als ein Storchenschnabel.,Is harder than a cranesbill.,
61779,5,Käfer,Beetle,
61785,25,"Der nächste Käfer, bitte.","The next beetle, please.",
61811,6,Schutt,Rubble,
61818,39,Viel Material zum Füllen tiefer Gräben.,Lots of material to fill deep trenches.,
61858,12,Antigraviton,Antigravity,
61871,25,Kehrt die Schwerkraft um.,Reverses gravity.,
61897,2,Öl,Oil,
61900,37,Zu schm/wierig für den Vogelschnabel.,Too slick for the bird's beak.,
61938,9,Tarnkappe,Magic Hat,
61948,37,Macht unsichtbar für Mensch und Tier.,Become invisible to humans and animals.,
61986,9,Gegengift,Antidote,
61996,35,Zur Behandlung von Skorpionstichen.,For the treatment of scorpion stings.,
62032,12,Sonnenschirm,Parasol,
62045,23,Lichtschutz für Untote.,Sun protection for the undead.,
78602,1,└,TODO,
14973,24,Programm beenden?  (j/n),Exit program?  (j/n),
19098,6,Name? ,TODO,
19700,21,Todesfälle in Prozent,Percent deaths,
21478,37,"Tasten:  UP und DOWN, Abbruch mit F1, Esc","Keys:  {UP} and {DOWN}, cancel with F1, Esc",
31624,5,Bruno,Bruno,
80703,X,Hunger,Hunger,
80724,X,Balken,Bar,
80745,X,Netz,Web,
80766,X,Stiefel,Boots,
80787,X,Walze,Roller,
80808,X,Laser,Laser,
80829,X,Natter,Snake,
80850,X,Wasser,Water,
80871,X,Grube,Pit,
80892,X,Vogel,Bird,
80913,X,Storch,Stork,
80934,X,Hecht,Pike,
80955,X,Skorpion,Scorpion,
80976,X,Licht,Light,
80997,X,Suizid,Suicide,
81039,X,Blutiger Anfänger,Bloody Beginner,
81060,X,Amateur,Amateur,
81081,X,Profi,Professional,
81102,X,Crack,Crack Shot,
81123,X,Gonzo,Gonzo the Great,
